
fl_pl=,0
mode1:
set up=, 343176
mode1_loop
nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node
2871,5659,1470,11838,430,
742,8775,1357,15574,291,
787,12428,1327,24974,180,
543,13278,979,34404,115,
568,12874,939,34715,86,
466,12667,890,37077,64,
528,12492,681,38617,49,
427,12098,745,37106,44,
446,12270,524,45845,34,
396,11658,477,44305,31,
421,11714,463,40143,25,
373,11229,339,39342,22,
413,11997,317,47018,17,
360,12081,283,50210,15,
399,11147,247,42227,13,
351,13069,268,51359,12,
390,12393,189,45056,9,
340,9396,199,35679,10,
381,10922,209,38502,10,
334,12211,220,46748,9,
380,16392,213,49772,8,
340,13079,195,39627,8,
369,12398,168,43873,7,
325,12646,182,37795,7,
361,12197,159,34051,7,
312,12421,163,35764,7,
310,12904,153,44526,6,
329,9792,164,43624,7,
312,9730,143,36464,6,
315,10121,122,37829,6,
309,11222,128,62162,5,
304,11894,126,133014,4,
538,12285,206,37351,4,
323,11982,125,33186,4,
316,15576,143,65370,4,
323,18137,146,78478,4,
383,18124,175,50478,4,
309,18833,148,51138,4,
326,18434,159,48984,4,
301,19707,151,61816,3,
314,22013,166,142038,3,
453,24741,169,98765,3,
360,23776,186,63393,3,
335,23126,165,61666,3,
318,23338,170,62406,3,
331,22956,163,63522,3,
314,22770,161,60127,3,
319,22649,162,60803,3,
323,22340,165,58974,3,
303,7436,92,28754,3,
326,10539,115,40335,3,
340,10565,103,35511,3,
324,10707,111,33386,3,
339,10864,112,31172,3,
330,10704,111,29618,3,
339,11191,106,34489,3,
337,11642,102,30921,3,
324,7853,76,28574,2,
344,7994,74,24160,2,
324,7625,75,23663,2,
331,7487,77,20069,2,
331,7543,72,18643,2,
333,7497,74,18191,2,
325,7561,75,17359,2,
329,17006,133,69601,2,
325,20834,132,107831,2,
487,20707,134,59333,2,
323,21450,133,57222,2,
320,20004,132,54741,2,
323,19990,136,53250,2,
318,19726,128,52768,2,
315,19585,135,52169,2,
325,19085,129,52769,2,
322,19300,126,50629,2,
318,18894,129,52176,2,
312,18702,127,50644,2,
318,18686,127,59958,2,
603,53135,190,81144,2,
425,21530,137,54557,2,
266,18627,131,51622,2,
287,18073,132,50294,2,
258,18153,130,49676,2,
272,17966,134,48912,2,
274,17589,128,48528,2,
276,17094,129,48231,2,
248,17107,127,47089,2,
271,17021,132,46570,2,
252,16819,122,45914,2,
272,16527,126,45609,2,
261,16471,121,44948,2,
274,16826,124,44323,2,
262,16422,118,44385,2,
265,16472,122,44110,2,
262,15963,117,43360,2,
258,15837,121,42960,2,
258,15479,118,42361,2,
257,15424,122,41836,2,
252,15160,113,41377,2,
248,15189,123,41611,2,
246,15079,116,41004,2,
246,14850,118,40184,2,
240,14684,113,39579,2,
254,14468,116,39396,2,
256,14176,112,38826,2,
248,14192,119,38126,2,
244,13334,0,0,1,-,

mode2; nds_td j iter
102738,81871,170103,60928,53121,52240,39822,49524,38467,37572,39431,36816,38467,37069,41413,36473,38235,35358,35112,34589,35218,34082,33731,33493,32961,32664,32368,31971,31686,31284,31586,30684,30403,30104,29676,29449,29273,28905,28380,28249,28011,27684,28233,27041,26830,26409,26290,25807,25774,25504,25064,24896,24409,24399,23896,26234,23594,23011,22639,22395,22335,36512,32961,32580,32171,31861,31530,31237,31016,30616,30359,30056,29724,29293,28981,28700,28562,28095,27911,27800,27497,27166,26978,26484,26430,25983,25567,25436,25296,24973,24675,24363,24065,24007,23684,23492,23071,22912,22491,22294,22170,21802,21567,21461,21206,21042,20590,20326,20181,74706,62768,94611,56466,54250,53477,52421,51999,51325,50936,50358,49858,49224,48952,48480,48097,47650,46865,46451,46051,45633,45122,44660,44240,43855,43533,45195,49226,43902,41753,41250,41022,40616,40008,39675,39369,38865,38463,38070,37694,37268,37003,36763,36234,35902,35479,35154,34751,34356,33967,33588,33370,32832,32723,32262,31932,31482,31206,30904,31663,31303,28854,28554,30360,27714,27507,27240,26917,26507,26333,25914,25628,25329,25084,24813,24531,24225,23920,23734,23381,23130,22831,22493,22267,21921,21759,21330,21201,20875,20552,20328,20157,19798,19627,19361,19031,18776,18960,18322,18084,17736,17926,17290,17112,16811,16637,16313,16129,15973,15597,15787,15286,14998,14780,14522,14267,14102,13878,13548,13441,13413,13067,12746,12594,12375,12196,12028,11737,11528,11417,11105,10985,10853,10566,10376,10225,10010,9877,9700,9570,9336,9229,8947,8853,8617,8460,9693,8810,8279,8086,7857,7750,7674,7434,7242,7077,7000,6770,6638,7645,6719,6481,6269,6150,5931,5931,6510,5993,6347,6465,6004,6234,6267,5676,5919,6019,5896,5524,5113,4949,5369,5098,4638,4456,4313,

mode3; num_thr=,2
148205,
