
fl_pl=,0
mode1:
set up=, 6500318
mode1_loop
nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node
86660,300133,47106,490204,1692,
27516,288005,33750,542704,1157,
23826,338974,34760,479230,709,
10919,164316,11911,401430,445,
10500,168806,10645,442024,341,
10468,160819,9346,427869,262,
10021,158778,8357,439057,202,
9914,148168,7241,430136,170,
9753,151550,6277,529052,145,
9827,146941,5132,477859,113,
9193,156656,4561,527229,89,
9633,146763,4475,483085,90,
9254,146187,4056,495022,79,
8534,139146,3568,514612,65,
8990,144663,3394,545017,59,
9147,152320,3043,600865,49,
9187,153955,3039,580960,47,
8921,151747,3003,587038,43,
9215,147926,2970,539088,37,
8986,144134,2624,556809,34,
9057,136101,2501,523950,35,
8688,154352,2633,592505,29,
9519,157794,2460,652358,25,
8393,151953,2573,571950,24,
9371,156164,2314,580242,26,
9437,160919,2226,724832,21,
8337,168075,2267,658569,20,
8564,153258,2207,552690,21,
8568,166992,2291,640893,19,
8811,171028,2093,756580,15,
8944,190670,2211,1081991,15,
8702,198670,2442,919970,15,
8558,155171,2030,550925,15,
9065,191364,2127,718384,14,
8410,170901,2045,699303,13,
8498,182995,1979,636462,13,
8346,180186,1978,589494,13,
8656,156336,1923,536936,18,
9050,194831,2563,748940,17,
8686,175328,1983,833708,14,
8280,160430,1710,602070,14,
8552,169778,1973,678611,14,
8588,193052,1871,769589,14,
8518,185310,2069,643408,13,
8563,202557,1957,633770,13,
8538,168418,1814,778804,11,
8310,156415,1441,749447,8,
8363,162309,1389,594919,8,
8361,158627,1440,551504,7,
8326,157633,1354,523318,7,
8322,176263,1563,745152,7,
8455,193622,1555,879920,7,
8355,193316,1499,706738,7,
8622,195112,2173,645834,9,
8375,201355,1786,1011382,9,
8142,241996,1917,963958,9,
8440,237558,1943,951687,7,
8150,251315,1875,1036082,7,
8098,249843,1845,849235,7,
8264,247487,1861,856757,7,
8520,246665,1806,851421,7,
8271,244272,1802,822894,7,
8624,242416,1872,821766,7,
8380,241177,1768,780468,7,
8170,238845,1956,808085,8,
8212,249875,1870,916731,8,
8192,259785,1922,912315,8,
8241,173327,1508,690286,6,
8329,226443,1553,1107539,6,
8178,283678,1908,1037352,6,
8138,273878,1761,895936,6,
8275,266385,1769,887682,6,
8145,265382,1751,890057,6,
8058,256277,1725,841250,5,
7824,255132,1726,809342,5,
8622,271249,2138,1454726,4,
7902,324737,1841,1058518,4,
8356,341561,1960,1324032,4,
7995,363519,1966,1369812,4,
8504,360703,1874,1127475,4,
8355,355407,1964,1109631,4,
8313,356738,2027,1098041,4,
8133,353164,1923,1088187,4,
8236,352300,2086,1092669,4,
8266,350737,2023,1055350,4,
8259,348980,1946,1054799,4,
8124,395616,2062,1695522,4,
8269,431364,2114,1803124,4,
8028,432389,2306,1438841,4,
8012,431809,2116,1428404,4,
7925,427992,2094,1409942,4,
8341,367371,2015,1539412,5,
8154,423696,1893,1328018,5,
8139,395723,1935,1256967,5,
8127,344932,1760,1146867,3,
8327,397507,1850,1370637,3,
7839,410915,1849,1445211,3,
8075,406534,1902,1278746,3,
8145,403605,1782,1274294,3,
8019,402054,1844,1248575,3,
8090,399331,1790,1239060,3,
8187,403710,1790,1235737,3,
8020,395518,1761,1234490,3,
8197,373422,1166,800333,3,
6257,270268,1259,827420,3,
6329,242354,1139,720987,3,
6480,242549,1101,716170,3,
6375,240553,1135,767674,3,
6497,265761,1218,764135,3,
6301,238764,1097,705863,3,
6252,237763,1153,704746,3,
6323,236604,1142,705088,3,
6327,257286,1140,787168,3,
6150,267066,1257,765895,3,
6374,254582,1185,744923,3,
6322,253713,1157,746807,3,
6203,252397,1124,732404,3,
6040,251937,1144,732546,3,
6249,249637,1153,734547,3,
6249,252817,1160,725294,3,
6415,248103,1119,721954,3,
6223,246495,1146,718074,3,
6250,246270,1118,712029,3,
6344,250330,1060,711381,3,
6289,242834,1113,705711,3,
6328,241669,1104,699534,3,
6282,239337,1189,696278,3,
6279,243170,1146,699751,3,
6225,240649,1176,712195,3,
6196,241003,1107,701194,3,
6069,239869,1140,696923,3,
6158,238421,1132,697758,3,
6086,237376,1078,692802,3,
6203,237746,1113,689941,3,
6144,236464,1156,680871,3,
6179,235504,1087,759958,3,
6562,259902,1134,727721,3,
6260,233722,1151,671635,3,
6212,232540,1134,675259,3,
6188,231256,1087,738676,3,
6376,253757,1188,711705,3,
6050,228193,1123,667024,3,
6225,226414,1106,718442,3,
6416,250346,1205,736334,3,
6371,249606,1161,722568,3,
6084,237745,1091,723755,3,
6332,237732,1123,702876,3,
6088,236407,1217,765322,3,
6459,257546,1214,783754,3,
6344,255438,1216,749607,3,
6196,246163,1117,734043,3,
6241,252453,1267,801521,3,
6454,266241,1314,714454,3,
6112,226605,1104,715957,3,
6261,250839,1167,726576,3,
6349,254282,1288,724301,3,
6257,246472,1191,675170,3,
6059,244421,1212,714137,3,
6310,237905,1076,727227,3,
6204,247932,17693,737261,3,
6212,243606,1255,669921,3,
6126,219421,1091,682666,3,
6199,241892,1194,701520,3,
6247,250135,1058,711291,3,
6221,238331,1113,661701,3,
5872,214449,1121,687162,3,
6186,236797,1159,683520,3,
6162,229333,1033,678601,3,
6287,234503,1129,683946,3,
6243,233230,1157,674015,3,
6370,231005,1126,675082,3,
6240,229964,1159,673676,3,
6356,229539,1102,663848,3,
5968,206777,991,591231,3,
5987,230873,1148,657721,3,
6145,219332,1471,676222,4,
5728,219629,1018,624924,4,
6004,174635,990,534998,4,
5742,174401,963,507464,4,
6032,169001,918,503705,4,
6098,166896,935,491882,4,
6122,178629,795,496215,4,
6019,165167,919,479537,4,
5952,166109,1189,431952,4,
5758,174416,898,471222,4,
6173,160813,994,470997,4,
6141,201302,1010,555763,3,
5603,214659,994,591415,3,
6073,192746,991,595213,3,
5881,192547,966,560310,3,
6197,194302,1028,607788,3,
5977,191947,936,570507,3,
5757,239640,1097,932924,2,
5855,260303,1003,996785,2,
5768,287146,1105,922624,2,
6087,308806,1128,899200,2,
6098,285871,989,889393,2,
6031,279194,1025,785482,2,
5775,252858,990,781225,2,
5766,250549,1013,767165,2,
5940,250185,991,753301,2,
6025,248849,988,742354,2,
5946,247236,1071,830298,2,
6029,272897,1167,774595,2,
5532,245123,1012,729626,2,
5926,244287,973,723555,2,
5761,258861,1079,905802,2,
6046,276032,1088,965202,2,
5667,269801,1047,803101,2,
5693,268575,1050,879501,2,
5960,295187,1210,837290,2,
5796,266124,1062,780076,2,
5867,264449,1048,776916,2,
5890,267746,980,771990,2,
5808,262513,1045,764756,2,
5932,270677,1059,805751,2,
5999,268865,1040,826875,2,
6068,294395,1088,861631,2,
5925,265843,1038,774300,2,
5983,264453,1058,773195,2,
5830,262340,1035,779328,2,
5866,261162,1056,762190,2,
5829,260837,1056,763980,2,
5849,261202,1018,759119,2,
5786,294111,1154,841077,2,
5994,289663,992,755884,2,
5921,257072,1021,749632,2,
5595,257352,1007,750822,2,
5794,256553,1020,746354,2,
5742,254968,1014,737014,2,
5837,252784,1020,738178,2,
5732,252793,996,791441,2,
5991,279589,1139,810947,2,
5937,251950,1000,729928,2,
5990,250495,970,730977,2,
5780,250229,976,734287,2,
5777,249038,953,725440,2,
5775,247580,962,722379,2,
5651,247482,976,719788,2,
5630,245855,986,795578,2,
5925,271495,1025,751965,2,
5660,243998,972,706119,2,
5657,242988,989,704287,2,
5502,241817,990,707273,2,
5715,391930,1614,2089802,2,
5467,406077,1126,1523430,2,
5762,337153,1141,992280,2,
5752,310317,1082,939105,2,
5622,339809,1189,1039248,2,
5796,325424,1070,924160,2,
5478,307454,1070,915920,2,
