'00_muon,,,,,,,,,,'01_muon,,,,,,,,,,'11_muon,,,,,,,,,,'00_tachyon,,,,,,,,,,'01_tacyon,,,,,,,,,,'11_tachyon,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node,,,,,nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node,,,,,nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node,,,,,nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node,,,,,nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node,,,,,nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node
263,601,166,1371,8,,-98,-26,14,,361,627,152,1949,8,,-8243900,-18408,-2825,-1252,8244163,19009,2991,2623,8,,-1093,-3685,-678,,1356,4286,844,22996,8,,-1170,-3499,-810,,1433,4100,976,27129,8,,-41634762,-90062630,-5438645,,41635025,90063231,5438811,195239,8,
112,521,80,1294,5,,-12,33,-12,,124,488,92,1307,5,,-1399715,-10154,-1074,-1391,1399827,10675,1154,2685,5,,-652,-2679,-364,,764,3200,444,7536,5,,-697,-2268,-363,,809,2789,443,7213,5,,-33336784,-52490798,-5407972,,33336896,52491319,5408052,9122,5,
78,533,110,1556,4,,7,-8,20,,71,541,90,1722,4,,-944709,-8581,-1335,-1518,944787,9114,1445,3074,4,,-578,-2993,-416,,656,3526,526,9494,4,,-524,-2022,-386,,602,2555,496,9041,4,,-36742355,-41950537,-5358163,,36742433,41951070,5358273,14078,4,
82,199,0,0,1,-,29,-55,0,,53,254,0,0,1,-,-4821281,-2347,0,0,4821363,2546,0,0,1,-,-548,-1185,0,,630,1384,0,0,1,-,-496,-817,0,,578,1016,0,0,1,-,-43618055,-10692099,0,,43618137,10692298,0,0,1,-
,,,,,,-18.5,-14,5.5,,,,,,,,-3852401.25,-9872.5,-1308.5,-1040.25,,,,,,,-717.75,-2635.5,-364.5,,,,,,,,-721.75,-2151.5,-389.75,,,,,,,,-38832989,-48799016,-4051195,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node,,,,,nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node,,,,,nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node,,,,,nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node,,,,,nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node,,,,,nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node
2360,7011,1280,17892,29,,1826,5648,1008,,534,1363,272,3866,29,,-17564447,-251943848,-8693609,-8725448,17566807,251950859,8694889,8743340,29,,-1004,-2835,-895,,3364,9846,2175,40015,29,,-1131,-2605,-740,,3491,9616,2020,41024,29,,-27672294,-305976229,-5360935,-2597578,27674654,305983240,5362215,2615470,29,
1213,8341,989,21260,19,,920,7030,764,,293,1311,225,4130,19,,-17314975,-165249467,-4372840,16631,17316188,165257808,4373829,4629,19,,-1187,-445,-286,,2400,8786,1275,27295,19,,-1323,-125,-407,,2536,8466,1396,28060,19,,-25456360,-200376135,-5470343,7547,25457573,200384476,5471332,20513,19,
1055,7762,980,24645,12,,864,6510,795,,191,1252,185,4692,12,,-17601476,-47877520,-1189,20196,17602531,47885282,2169,4449,12,,-1200,-924,-80,,2255,8686,1060,29938,12,,-1275,-1052,-246,,2330,8814,1226,29555,12,,-26595967,-126095458,-5280719,3394,26597022,126103220,5281699,26161,12,
1373,6710,775,23723,7,,1184,5431,640,,189,1279,135,4587,7,,-449539,-9572,-909,18192,450912,16282,1684,5531,7,,-737,-507,-139,,2110,7217,914,28954,7,,-747,-10,-87,,2120,6720,862,28823,7,,-26423405,-73648859,-5414423,10971,26424778,73655569,5415198,17852,7,
987,6345,700,23502,6,,825,5262,566,,162,1083,134,4473,6,,-781334,-7849,-514,14500,782321,14194,1214,9002,6,,-963,-593,43,,1950,6938,657,29149,6,,-1019,-405,-57,,2006,6750,757,28971,6,,-34831573,-58768016,-5249711,4620,34832560,58774361,5250411,24351,6,
909,6639,557,26876,5,,732,5358,443,,177,1281,114,5250,5,,-1040515,-3315,-702,15259,1041424,9954,1259,11617,5,,-1029,-680,-170,,1938,7319,727,33176,5,,-1006,-421,-97,,1915,7060,654,33696,5,,-36227556,-26481054,-5374176,10887,36228465,26487693,5374733,22809,5,
846,4995,343,22465,3,,702,3984,287,,144,1011,56,4488,3,,-759678,-104,-778,9510,760524,5099,1121,12955,3,,-1012,-788,-97,,1858,5783,440,28140,3,,-1048,-991,-127,,1894,5986,470,27953,3,,-22764041,-15966376,-309309,10183,22764887,15971371,309652,17770,3,
885,4658,316,22344,2,,745,3569,244,,140,1089,72,4353,2,,-776121,1694,-854,12123,777006,2964,1170,10221,2,,-989,-1218,-29,,1874,5876,345,26699,2,,-975,-942,-76,,1860,5600,392,27563,2,,-32551310,-8321,-3138087,2005,32552195,12979,3138403,25558,2,
804,5100,332,28217,2,,577,4063,277,,227,1037,55,5390,2,,-4929744,1155,-664,16118,4930548,3945,996,12099,2,,-1082,-1444,-166,,1886,6544,498,35587,2,,-1040,-1210,-115,,1844,6310,447,35930,2,,-43795520,-8624,-5400858,6843,43796324,13724,5401190,29087,2,
978,6067,361,39902,2,,835,4693,301,,143,1374,60,6451,2,,-658171,2663,-176,28310,659149,3404,537,11592,2,,-808,-1196,-79,,1786,7263,440,43329,2,,-857,-1405,-83,,1835,7472,444,43155,2,,-29861471,-5403307,-2826,15230,29862449,5409374,3187,27925,2,
927,3810,322,12552,2,,777,3069,281,,150,741,41,2371,2,,-10877758,-8,-631,6278,10878685,3818,953,6274,2,,-888,-222,-5,,1815,4032,327,15836,2,,-863,-150,34,,1790,3960,288,15908,2,,-37388477,-10279459,-5166039,1035,37389404,10283269,5166361,14873,2,
879,4432,255,21742,2,,748,3752,199,,131,680,56,4227,2,,-827515,625,-707,14173,828394,3807,962,7569,2,,-844,-244,-94,,1723,4676,349,27677,2,,-881,-554,-155,,1760,4986,410,28416,2,,-31720262,-10513866,-5292972,-6871,31721141,10518298,5293227,35287,2,
735,5349,353,26502,2,,607,4329,288,,128,1020,65,4841,2,,-446607,1904,-779,17485,447342,3445,1132,9017,2,,-1030,-862,-50,,1765,6211,403,32616,2,,-982,-781,-84,,1717,6130,437,33457,2,,-29325876,-10605919,-5388738,-31994,29326611,10611268,5389091,65451,2,
1259,4007,0,0,1,-,1126,3326,0,,133,681,0,0,1,-,-423248,2704,0,0,424507,1303,0,0,1,-,-451,-263,0,,1710,4270,0,0,1,-,-491,-393,0,,1750,4400,0,0,1,-,-29896318,-3197,0,0,29897577,7204,0,0,1,-
,,,,,,890.571428571429,4716,435.214285714286,,,,,,,,-5317937.71428572,-33220067,-933882.285714286,-609762.357142857,,,,,,,-944.571428571429,-872.928571428571,-146.214285714286,,,,,,,,-974.142857142857,-788.857142857143,-160,,,,,,,,-31036459.2857143,-60295344.2857143,-4060652.57142857,-183123.428571429,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
