,set up=,6367,,,,,,set up=,4960,,,,,,set up=,276345,,,,,,set up=,30149,,,,,,set up=,15704,,,,,,set up=,297062,,,,,,,,,
,mode1_loop,,,,,,,mode1_loop,,,,,,,mode1_loop,,,,,,,mode1_loop,,,,,,,mode1_loop,,,,,,,mode1_loop,,,,,,,,,,
,nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node,,nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node,,nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node,,nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node,,nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node,,nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node,,,,,
,173,689,167,926,8,,,120,409,107,846,8,,,17501667,42836,3010,2000,8,,,625,2460,438,3586,8,,,299,1262,213,1667,8,,,43446282,90301937,5398034,6287,8,,,,,,
,33,462,120,854,5,,,25,288,58,499,5,,,960353,11432,1440,1287,5,,,216,1815,302,3374,5,,,103,900,161,1533,5,,,36331800,52637445,5453137,7225,5,,,,,,
,34,605,125,1219,4,,,27,256,61,675,4,,,1607956,8868,1347,1669,4,,,211,1781,368,4436,4,,,93,805,166,1960,4,,,41025527,36998476,5251586,6071,4,,,,,,
,29,246,0,0,1,-,,20,124,0,0,1,-,,1491174,2601,0,0,1,-,,145,750,0,0,1,-,,66,352,0,0,1,-,,42139765,10739617,0,0,1,-,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,53,280,60,80,,,,-17501494,-42147,-2843,-1074,,,,-452,-1771,-271,-2660,,,,326,1198,225,1919,,,,-43445657,-90299477,-5397596,-2701,,,,,,,
,,,,,,,,8,174,62,355,,,,-960320,-10970,-1320,-433,,,,-183,-1353,-182,-2520,,,,113,915,141,1841,,,,-36331584,-52635630,-5452835,-3851,,,,,,,
,,,,,,,,7,349,64,544,,,,-1607922,-8263,-1222,-450,,,,-177,-1176,-243,-3217,,,,118,976,202,2476,,,,-41025316,-36996695,-5251218,-1635,,,,,,,
,,,,,,,,9,122,0,0,,,,-1491145,-2355,0,0,,,,-116,-504,0,0,,,,79,398,0,0,,,,-42139620,-10738867,0,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-179,-853,-106,-821,,,,-25944615,-90259101,-5395024,-4287,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78,-612,-103,-1034,,,,-35371447,-52626013,-5451697,-5938,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66,-549,-105,-1285,,,,-39417571,-36989608,-5250239,-4402,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-46,-228,0,0,,,,-40648591,-10737016,0,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8x8,fl_pl=,0,,,,,,fl_pl=,0,,,,,,fl_pl=,1,,,,,,fl_pl=,0,,,,,,fl_pl=,0,,,,,,fl_pl=,1,,,,,,,,,
,mode1:,,,,,,,mode1:,,,,,,,mode1:,,,,,,,mode1:,,,,,,,mode1:,,,,,,,mode1:,,,,,,,,,,
,set up=,86588,,,,,,set up=,76052,,,,,,set up=,1212801,,,,,,set up=,103628,,,,,,set up=,108123,,,,,,set up=,1071868,,,,,,,,,
,mode1_loop,,,,,,,mode1_loop,,,,,,,mode1_loop,,,,,,,mode1_loop,,,,,,,mode1_loop,,,,,,,mode1_loop,,,,,,,,,,
,nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node,,nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node,,nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node,,nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node,,nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node,,nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node,,,,,
,592,4133,822,6357,29,,,815,4605,844,7197,29,,,353345,157323,8072,8675,29,,,747,5795,717,9264,29,,,685,6786,849,9790,29,,,34940610,311536799,1986805,22090,29,,,,,,
,300,3972,644,7957,19,,,482,4123,671,7794,19,,,10802,109640,10801,7684,19,,,515,5448,656,11665,19,,,492,5553,693,10690,19,,,29625716,197176082,5439995,11313,19,,,,,,
,184,4191,650,10204,12,,,225,4353,688,10363,12,,,370378,69540,5237,13186,12,,,379,5283,645,13449,12,,,334,5213,702,12152,12,,,31642819,127212370,5434432,9311,12,,,,,,
,220,3308,410,10455,7,,,174,3402,328,10348,7,,,3036972,87473,8107,21505,7,,,359,4215,470,12928,7,,,364,4293,497,12047,7,,,29532565,74064048,5432246,10126,7,,,,,,
,130,3288,320,9703,6,,,198,3131,247,9284,6,,,2359908,14084,1433,2020,6,,,283,4130,351,13133,6,,,273,3861,386,11869,6,,,29283016,63587667,5312469,18397,6,,,,,,
,215,3361,356,10792,5,,,207,3581,366,10161,5,,,1248144,9573,1250,3806,5,,,300,3941,406,14664,5,,,305,3988,425,12764,5,,,26450348,31757483,5496064,9689,5,,,,,,
,120,2871,221,8845,3,,,187,2680,221,8370,3,,,1065786,4773,1257,5307,3,,,299,3156,292,11610,3,,,244,2860,292,10680,3,,,33772476,5363578,5467536,10148,3,,,,,,
,152,2553,181,8242,2,,,162,2416,159,7652,2,,,672446,2193,1127,4123,2,,,300,2656,256,11262,2,,,286,3095,225,9352,2,,,43613997,9995,75173,48223,2,,,,,,
,148,2845,183,10199,2,,,118,2807,135,9867,2,,,828357,2507,1164,4303,2,,,265,2941,207,14658,2,,,228,3128,261,13170,2,,,31411489,10074,5616058,16459,2,,,,,,
,159,3057,162,11698,2,,,134,3125,118,10851,2,,,872758,2855,795,5194,2,,,283,3516,210,16543,2,,,256,3474,248,14390,2,,,39270500,191744,13475,16620,2,,,,,,
,143,1663,140,4326,2,,,139,1663,146,4156,2,,,604004,3466,865,2936,2,,,280,1874,210,6336,2,,,236,1746,236,5308,2,,,32640774,10753442,5457959,8780,2,,,,,,
,114,1874,201,6963,2,,,170,1984,139,6810,2,,,584123,3455,994,3130,2,,,285,2177,280,10844,2,,,254,2212,248,9404,2,,,31430272,10664720,5478251,10707,2,,,,,,
,142,2577,208,7927,2,,,144,2399,239,7892,2,,,552245,3362,1016,5052,2,,,187,2987,283,12110,2,,,198,2697,281,10670,2,,,37113776,5566471,5285954,117242,2,,,,,,
,102,1559,0,0,1,-,,115,1554,0,0,1,-,,583892,1142,0,0,1,-,,256,1851,0,0,1,-,,260,1720,0,0,1,-,,46294970,8750,0,0,1,-,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,-223,-472,-22,-840,,,,-352753,-153190,-7250,-2318,,,,-155,-1662,105,-2907,,,,62,-991,-132,-526,,,,-34939863,-311531004,-1986088,-12826,,,,,,,
,,,,,,,,-182,-151,-27,163,,,,-10502,-105668,-10157,273,,,,-215,-1476,-12,-3708,,,,23,-105,-37,975,,,,-29625201,-197170634,-5439339,352,,,,,,,
,,,,,,,,-41,-162,-38,-159,,,,-370194,-65349,-4587,-2982,,,,-195,-1092,5,-3245,,,,45,70,-57,1297,,,,-31642440,-127207087,-5433787,4138,,,,,,,
,,,,,,,,46,-94,82,107,,,,-3036752,-84165,-7697,-11050,,,,-139,-907,-60,-2473,,,,-5,-78,-27,881,,,,-29532206,-74059833,-5431776,2802,,,,,,,
,,,,,,,,-68,157,73,419,,,,-2359778,-10796,-1113,7683,,,,-153,-842,-31,-3430,,,,10,269,-35,1264,,,,-29282733,-63583537,-5312118,-5264,,,,,,,
,,,,,,,,8,-220,-10,631,,,,-1247929,-6212,-894,6986,,,,-85,-580,-50,-3872,,,,-5,-47,-19,1900,,,,-26450048,-31753542,-5495658,4975,,,,,,,
,,,,,,,,-67,191,0,475,,,,-1065666,-1902,-1036,3538,,,,-179,-285,-71,-2765,,,,55,296,0,930,,,,-33772177,-5360422,-5467244,1462,,,,,,,
,,,,,,,,-10,137,22,590,,,,-672294,360,-946,4119,,,,-148,-103,-75,-3020,,,,14,-439,31,1910,,,,-43613697,-7339,-74917,-36961,,,,,,,
,,,,,,,,30,38,48,332,,,,-828209,338,-981,5896,,,,-117,-96,-24,-4459,,,,37,-187,-54,1488,,,,-31411224,-7133,-5615851,-1801,,,,,,,
,,,,,,,,25,-68,44,847,,,,-872599,202,-633,6504,,,,-124,-459,-48,-4845,,,,27,42,-38,2153,,,,-39270217,-188228,-13265,-77,,,,,,,
,,,,,,,,4,0,-6,170,,,,-603861,-1803,-725,1390,,,,-137,-211,-70,-2010,,,,44,128,-26,1028,,,,-32640494,-10751568,-5457749,-2444,,,,,,,
,,,,,,,,-56,-110,62,153,,,,-584009,-1581,-793,3833,,,,-171,-303,-79,-3881,,,,31,-35,32,1440,,,,-31429987,-10662543,-5477971,137,,,,,,,
,,,,,,,,-2,178,-31,35,,,,-552103,-785,-808,2875,,,,-45,-410,-75,-4183,,,,-11,290,2,1440,,,,-37113589,-5563484,-5285671,-105132,,,,,,,
,,,,,,,,-13,5,0,0,,,,-583790,417,0,0,,,,,,,,,,,-4,131,0,0,,,,-46294714,-6899,0,0,,,,,,,
,,,,,,,,0,0,0,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,-4035102.42857143,-10759.9285714286,,,,,,,
,,,,,,,,223,472,22,840,,,,,-30723.8571428571,-2687.14285714286,1910.5,,,,,,,,,,,,,,,,,,-34587265,-311379476,-1978733,-13415,,,,,,,
,,,,,,,,182,151,27,-163,,,,,,,,,,,,,,,,,,,,,,,,,-29614914,-197066442,-5429194,-3629,,,,,,,
,,,,,,,,41,162,38,159,,,,,,,,,,,,,,,,,,,,,,,,,-31272441,-127142830,-5429195,3875,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26495593,-73976575,-5424139,11379,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26923108,-63573583,-5311036,-16377,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25202204,-31747910,-5494814,-5883,,,,,,,
