mode1:,mode1:,mode1:,mode1:,mode1:,mode1:,mode1:,,
630.293942,961.865445,1001.033059,773.348093,649.044951,636.154637,644.897494,756.662517285714,161.589881423713
302.116982,306.27833,1056.092886,589.853623,299.235056,309.018577,292.634029,450.747069,287.749572771469
419.411315,842.49436,1719.937739,867.998579,421.776446,423.509015,420.015099,730.734650428572,481.865470710821
562.024944,1377.436302,2140.843715,1256.552142,558.816375,565.648112,559.000986,1002.90322514286,616.353440037734
705.280066,1172.175292,3628.934767,1678.419461,702.33965,704.741983,706.202624,1328.29912042857,1079.79078500323
865.30415,1654.265531,4750.28544,2196.861598,871.501079,868.802351,868.550012,1725.08145157143,1432.60409968241
1032.816956,5074.995506,4192.440983,2672.695027,1046.926004,1040.158179,1034.467046,2299.214243,1721.70228609959
1205.431636,4104.117818,7295.561091,3335.888,1199.165818,1209.166909,1199.490545,2792.688831,2323.62121723225
3385.796535,6348.323856,8823.057752,4004.472679,3381.31586,3392.93203,2293.841848,4518.53436571429,2270.60597341319
7951.310529,5641.41101,13530.397114,4862.690005,5346.69535,5045.423838,1802.129877,6311.43681757143,3656.44954175894
3279.040373,9297.23354,3847.102484,5464.217391,7998.386957,7734.426087,4920.726087,6077.30470271429,2284.81163952285
2883.444364,10107.385116,10754.500723,10736.476879,4295.479769,9739.381503,6039.595376,7793.75196142857,3316.37679344231
3906.606845,5308.250417,8272.874791,9054.444908,7333.776294,5195.607679,5550.311352,6374.55318371429,1870.94456425975
4919.483537,4920.790216,8656.199436,10395.111007,18278.989652,5025.444967,11454.03857,9092.86534071429,4885.5872180515
5662.78415,11352.578728,6066.604797,17261.109489,7417.810219,5665.73097,7164.962461,8655.94011628571,4275.5461740606
6141.332155,7812.242638,6254.441696,26422.893993,6417.399293,6218.454653,7215.578327,9497.47753642857,7489.28867597507
6674.918742,7136.530799,7780.868938,17544.693316,6626.68152,8036.693316,7727.82962,8789.74517871429,3899.7041116771
7463.969343,7599.89927,7749.418978,25207.321168,7491.208759,9027.540146,8767.661314,10472.4312825714,6528.34458507649
8137.470395,27341.557566,8888.740132,37785.970395,8246.164474,8478.5,9459.473684,15476.8395208571,12063.7636241102
8815.759857,11155.724014,9068.530466,38616.318996,9164.646953,9006.553763,10236.9319,13723.4951355714,11009.0072651007
10638.509843,18638.440945,10845.336614,24754.848425,10846.224409,10585.809055,12089.405512,14056.9392575714,5532.6921299832
10936.383817,34611.358921,11046.883817,33130.850622,11386.692946,11005.282158,36536.923237,21236.3393597143,12689.1198000364
13564.305882,31921.36,13554.875294,44020.185882,13220.127059,13908.077647,16482.955294,20953.1267225714,12186.9779545075
12838.35122,28511.002439,13709.578049,29955.465854,12783.665854,13564.117073,26437.682927,19685.6947737143,8130.75846251946
13414.874659,29911.395095,17282.972752,41222.920981,13977.675749,13759.648501,16182.950954,20821.7769558571,10680.5684820347
15271.091168,20686.094017,17753.732194,42784.521368,26094.188034,15517.863248,17091.099715,22171.2271062857,9829.41355713057
16177.236527,16781.898204,27392.973054,45304.224551,28321.628743,15797.245509,18682.164671,24065.3387512857,10746.2397804061
15111.191083,15575.031847,18900.528662,49946.152866,18319.359873,15320.06051,18212.219745,21626.3635122857,12588.8101083659
17116.480263,23306.105263,33754.638158,40683,19786.611842,27687.878289,20365.967105,26100.0972742857,8514.94969319033
34722.705455,24722.876364,22257.065455,56278.021818,18709.087273,19240.767273,49059.603636,32141.4467534286,15138.5444983948
22461.221374,20907.29771,17724.496183,46174.400763,18611.28626,45633.874046,26139.217557,28235.9705561429,12376.4124605921
17357.731061,17344.348485,17293.636364,33167.80303,20566.170455,45160.409091,17837.094697,24103.8847404286,10915.5952281094
38646.554054,43550.346847,49742.698198,30899.752252,29089.202703,31370.243243,45146.617117,38349.3449162857,8094.28489293014
24476.286996,28286.58296,50628.847534,23809.192825,27930.013453,23673.515695,29732.502242,29790.9916721429,9499.10222960994
46235.741784,23809.713615,73333.619718,24977.981221,29581.784038,24291.126761,29810.624413,36005.7987928571,18190.0013499482
32289.964467,26441.020305,48254.492386,25840.121827,32172.340102,26121.365482,53726.781726,34978.0123278571,11384.9326127154
27808.184615,60583.035897,33230.451282,28329.784615,33039.65641,28170.507692,51824.369231,37569.427106,13173.0003720511
