3272.125,1096,707.25,2605.5,3438.625,3380.125,2751.125,3411.5,3370.125,3342.5,2737.4875,1013.51584919157
1591,414.4,334.4,1286.6,1578.6,1566,1519.6,1554,1674.4,1531.8,1305.08,500.698837847885
1903.75,533.25,425.5,1651.5,1925.25,1946.75,2028.5,1999.5,1929.75,1948,1629.175,614.897010911403
,,,,,,,,,,,
nds_n0=1,nds_n0=1,nds_n0=1,nds_n0=1,nds_n0=1,nds_n0=1,nds_n0=1,nds_n0=1,nds_n0=1,nds_n0=1,#DIV/0!,#DIV/0!
4970,1499,1287,3695,4922,4939,5617,4886,4665,4734,4121.4,1513.4356206254
3367,920,726,2677,3303,3249,3406,3162,3234,3275,2731.9,1027.02314698572
3681,1085,733,3369,3894,3803,3701,3986,3662,3761,3167.5,1204.20008027459
2474,716,516,2221,2475,2362,2488,2399,2554,2558,2076.3,777.353494592747
2202,708,432,2095,2439,2205,2227,2154,1955,2238,1865.5,696.457265180156
1677,519,330,1560,1764,1540,1744,1682,1673,1771,1426,535.28351781504
1520,493,319,1464,1423,1464,1433,1470,1458,1371,1241.5,443.884682221758
1957,634,448,1771,2014,2021,2248,2022,2045,2127,1728.7,638.895931362152
1571,585,329,1678,1709,1664,1873,1630,1706,1693,1443.8,529.139511114245
1448,497,331,1525,1488,1492,1519,1460,1406,1598,1276.4,459.049549492088
1508,490,317,1512,1597,1539,1534,1583,1568,1506,1315.4,483.35176976332
,,,,,,,,,,,#DIV/0!
