mode1:,mode1:,mode1:,mode1:,mode1:,mode1:,mode1:,mode1:,mode1:,mode1:,,
676.704492,133.118794,484.751182,553.131797,570.5987,600.982861,583.025414,568.150118,585.677896,573.014184,532.9155438,148.113554940583
970.539326,166.493518,168.383751,900.179775,855.57822,193.638721,976.114088,814.489196,898.736387,821.111495,676.5264477,349.462386138934
1767.700987,320.019746,327.248237,1704.963329,1619.211566,359.138223,1724.682652,1511.633286,1706.533145,1531.007052,1257.2138223,641.347071725797
2980.438202,571.575281,599.348315,3186.683146,2845.948315,650.748315,3099.159551,2469.2,2875.408989,2835.431461,2211.3941575,1123.16611134009
3761.759531,863.70088,831.557185,5187.266862,4124.565982,896.454545,4494.557185,3211.478006,3571.653959,4355.651026,3129.8645161,1653.08594801785
4250.038168,1066.225191,1041.29771,5199.068702,4969.912214,1131.801527,5683.648855,3749.656489,3976.274809,4962.667939,3603.0591604,1834.16794263831
4947.70297,1414.519802,1355.074257,6653.361386,5801.425743,1462.732673,4002.306931,4388.940594,4600.079208,5428.193069,4005.4336633,1939.42955987173
4914.529412,5582.117647,1546.988235,7948.529412,5776.635294,1656.2,1617.470588,4729.123529,4660.317647,5582.052941,4401.3964705,2137.83977406738
5244.331034,7179.489655,1890.993103,9600.241379,6824.689655,2011.744828,1968.289655,5413.496552,5134.944828,7168.262069,5243.6482758,2611.62681205699
6143.876106,8406.336283,2458.893805,12539.973451,7533.973451,2585.690265,2554.132743,6367.59292,5935.389381,7301.221239,6182.7079644,3135.90463520249
7643.089888,10750.977528,3309.449438,17104.662921,9339.820225,3512.606742,3472.089888,7705.988764,7438.842697,9915.382022,8019.2910113,4204.3827281325
6561.066667,9245.077778,3079.811111,15538.866667,7694.122222,3228.144444,3147.2,6741.166667,6191.922222,10202.766667,7163.0144445,3855.41309270186
6668.848101,9473.316456,3433.443038,16946.962025,7784.886076,3600.493671,3510.341772,6829.481013,6781.050633,12478.822785,7750.764557,4303.71651279282
8062.4,11464.723077,4433.892308,19362.738462,10287.784615,4591.030769,4518.107692,8386.430769,7577.215385,17248.292308,9593.2615385,5199.25118302398
8383.728814,12250.135593,5059.237288,19143.050847,10912.440678,5236.559322,5159.338983,8832.457627,8291.627119,21765.661017,10503.4237288,5800.52669657339
10209.571429,14695.979592,6508.530612,22580.204082,11974.142857,6671.306122,6590.081633,10497.632653,9565.693878,31912.408163,13120.5551021,8181.03684057597
9341.382979,13846.404255,6677.297872,20770.659574,12309.829787,6966.446809,6698.425532,9703.893617,9635.893617,28648.468085,12459.8702127,7111.72905582434
9998.116279,13795.790698,11334.627907,19719.418605,13904.186047,7305.813953,7127.046512,10072.488372,9185.069767,28019.813953,13046.2372093,6446.35106541048
9629.702703,14048.405405,7832.297297,19613.567568,16509.972973,8045.189189,7885.648649,10118.837838,9638.594595,27563.054054,13088.5270271,6476.74000547704
10526.088235,14980.352941,8820.264706,19728.235294,20365.735294,8949.323529,8931.911765,10786.617647,10687.529412,28289.088235,14206.5147058,6578.06773417409
9541.657143,13247,7907.8,17012.114286,21588.685714,8314.342857,8244.2,10049.2,8877.257143,23500.6,12828.2857143,5850.53859535753
11234.724138,16736.62069,17908.827586,20591.655172,28891,10553.241379,10416.62069,11637.344828,11021.758621,28242.137931,16723.3931035,7175.95662786797
13197.08,19542.84,25402.6,23767.56,38581.04,13183.44,12994.36,13783.56,13590.64,31646.72,20568.984,9084.80734920449
12592.583333,17352.541667,23587.708333,21363.958333,41698.458333,12271.75,12398.791667,12708.5,12256.791667,27097.125,19332.8208333,9568.34684045116
11595.230769,15427.269231,22463.192308,18132.576923,40519,11793.461538,11652.153846,11655.192308,12052.923077,24372.576923,17966.3576923,9247.95492932467
16940.095238,21263.095238,34391.809524,24529.857143,53801.857143,16878.238095,16514.047619,16535.238095,16591.047619,31363.47619,24880.8761904,12099.5391106373
16423.6,19836.95,34904.45,21948.35,46727.75,16729.15,16140,16707.05,16192.25,28187,23379.655,10311.1340530906
14060,15795.380952,31157.571429,18316.142857,37483.285714,13911.571429,13664.190476,13828.52381,15129.190476,21914.047619,19525.9904762,8342.62516864182
17354.421053,21664.263158,40890.894737,20418.157895,42554.578947,21378.684211,16743,17202.684211,17059.789474,26698.631579,24196.5105265,9734.39219122409
25058.133333,28823.6,62971.533333,28478.133333,57293.466667,27324,24452.333333,24448.133333,24556.133333,33998.933333,33740.4399998,14277.6298118708
32979.733333,32760.666667,78787.666667,32459.466667,65111,32106.2,31610.866667,34378.8,32216.733333,40892.733333,41330.3866667,16671.8711625349
30050.466667,28691.933333,65249.2,29739.066667,52159.733333,29230.266667,27563,28852.6,29597.466667,33340.533333,35447.4266667,12726.9013503331
18953.6,18910.066667,40901.533333,19332.866667,33747.333333,19641.4,19000.466667,19465.133333,18737.066667,21755.533333,23044.5,7760.24113697241
25269.071429,25418,52616.214286,24554.714286,42580.357143,25734.642857,24866.142857,27035.214286,26089.357143,26798.5,30096.2214287,9554.38200426208
26977.692308,27413,52858.846154,26039.153846,42799.384615,27777.230769,28238.846154,26884.769231,26242,28376.153846,31360.7076923,9029.9349315757
24414.615385,27059.307692,48534.615385,24413.307692,35660.615385,26737.923077,23979.923077,24016.615385,23833.384615,24474.923077,28312.523077,7953.97215662497
22923.769231,25539.307692,46865.153846,23410.384615,32189,25770.538462,22602.615385,22472.230769,23062,22566,26740.1,7666.85983432824
15204.777778,17873.555556,32638.833333,15684.222222,20403.166667,18435.444444,15267.444444,15241,15758.888889,14842.833333,18135.0166666,5409.24385420709
21503.176471,25934.823529,42608.470588,20726,27205.823529,26089.647059,20975.588235,21438.705882,21399.823529,20523.529412,24840.5588234,6742.11078829558
28089.571429,36818.357143,50942.857143,26967.428571,33343.357143,34619,26973.285714,27596.285714,27541.642857,26383.785714,31927.5571428,7654.75368773583
22064.428571,29295.5,37084.214286,21324.071429,24388.214286,28261.928571,21185.357143,21651.571429,21560.928571,20595.642857,24741.1857143,5311.86559829938
24038.928571,33719.5,38091,23339.428571,26366.928571,32248.285714,23240.071429,23228.642857,23825.357143,23036.071429,27113.4214285,5500.48089972933
29188,38496.357143,41070.928571,25612.642857,26649.5,36447.571429,25224.428571,29078.857143,25981.857143,24820.142857,30257.0285714,6086.68090743454
24670.153846,38503.923077,35268.846154,27624.615385,24597.846154,37181,23961.769231,24270.769231,24856.076923,25855.461538,28679.0461539,5872.24598181399
24757.615385,41162.384615,35362.538462,24288.615385,24798.769231,38898.692308,24450.692308,25536.230769,24378,24298.230769,28793.1769232,6831.06120445618
33133.181818,56898.727273,42263.181818,32372,33181,53192.909091,32130.545455,32999.363636,33824.090909,32167.818182,38216.2818182,9399.67970236246
43548.75,80797.25,54668.75,42795.375,43941,74956.5,42783.625,46161.625,42995.75,41919.75,51456.8375,14465.5408518171
36059.125,71613,42082.5,35669.625,36792.625,68211,35939.625,35585.25,36431,35302.125,43368.5875,14147.8684292176
39323,81136.428571,44228.571429,37589.142857,38083.571429,75221.857143,37702.857143,38598.857143,38906.857143,40129,47092.0142858,16553.2610239991
36729,77743.714286,40596.285714,35878.571429,37262.857143,74653.285714,36139.428571,36018.142857,36492.142857,35923.714286,44743.7142857,16652.0716555612
49189.571429,100558.428571,53251.571429,49127.285714,50661.285714,95017.142857,48977,48639.142857,49723.857143,48436.285714,59358.1571428,20343.69997523
60236.142857,111974.285714,64301.142857,58966.571429,60376.857143,102883.714286,58615.142857,60050.142857,59369.571429,57685.857143,69445.9428572,20208.6878787595
46771.142857,88155.714286,49755,50554.428571,49199.428571,82167.571429,47515.142857,46524.714286,47779.571429,46846.428571,55526.9142857,15739.9162069451
34711.666667,63511.666667,35463.222222,35432.111111,35922.111111,59542.777778,33930.666667,34295.666667,37131.333333,33925.888889,40386.7111112,11223.8193477705
50910.111111,79880.555556,50381.888889,50465.444444,50740.111111,75754,50062.888889,54082,52122,48204.333333,56260.3333333,11500.3908534123
51240.222222,78375.444444,51241.777778,54627.666667,51843.666667,72916.555556,50173.777778,50669.333333,51970.666667,51650.888889,56471.0000001,10255.500918291
63232.857143,91689.857143,66262.285714,62491.571429,64965.428571,85921.285714,61815.285714,62005.857143,64251,61038.857143,68367.4285714,10969.7636804852
65364,84900,70394.714286,64150.714286,66128.857143,82571,63745.142857,64389.714286,66494.571429,62498.142857,69063.6857144,8036.62322723713
59785.857143,76526.428571,61292,65224.285714,62898.285714,74206.285714,60425.857143,59680.857143,60917.142857,59161.571429,64011.8571428,6264.77879525003
59871.142857,72602,60316.428571,62624.285714,61571.428571,68598.714286,58860.571429,61467.142857,61453.285714,60585.571429,62795.0571428,4346.18070416914
57906.285714,65261.142857,58103.714286,59063.428571,58132.857143,61960.142857,55476.857143,57529,57553.428571,54737.285714,58572.4142856,3050.15915232676
55783.428571,61618.857143,64873.714286,59039.285714,57317.714286,59667.857143,56443.142857,55396,56408.571429,56456,58300.4571429,3033.20688674691
56772.142857,57191.714286,56722.428571,56747.142857,55182.571429,55714.142857,53816.285714,54356.714286,53429,54594.857143,55452.7,1370.50304487976
54258.571429,54531.571429,55420.285714,57546.571429,54849.142857,53926.714286,53725.142857,66909.285714,53258.714286,56869.571429,56129.557143,4025.33966411558
50308.875,49470.75,49115.625,53776.75,49771.125,48943.625,47564.125,52309.125,48788.625,48394.125,49844.275,1875.54695337268
56677,56346.75,60392.5,64727.875,56474.75,56467.125,55380.625,57837,57587.625,56316.25,57820.75,2783.27289605042
53283,52893.75,55893.25,53915.5,52402.625,53136,50891.875,56090.875,51246.375,50214.375,52996.7625,1958.12462757559
54408,52271,54433.166667,59921.333333,52798,53092.666667,50907.166667,53927.333333,55024.166667,51990.333333,53877.3166667,2476.14953149323
80129,79270.333333,84328.5,85567.5,79213.5,79363.833333,77893.833333,77680.5,77442.166667,87691,80858.0166666,3643.15793813991
81355.166667,81742,80666.833333,86428.833333,79137.333333,79502,75901.166667,78626.833333,76518.833333,80334.166667,80021.3166666,2954.27128259107
76112.833333,78314.166667,81618,76955.166667,73784.666667,74089.5,71123.166667,72397.5,71651.5,71710.333333,74775.6833334,3423.49345750838
73175.166667,72530.833333,75122.666667,84955.166667,73234.5,72622.166667,70329.833333,72251.833333,70250,71786.166667,73625.8333334,4225.43927965737
71560,70915,73699,76559.666667,70588.666667,71561.833333,68108,71106.666667,69219.166667,68983.833333,71230.1833334,2451.34123718699
85506.4,80466.8,82091.2,84856.4,81215.6,79802.4,78036.4,79649,78335.2,78299,80825.84,2642.31757835596
78361.8,78074,76935.6,78774.8,77314.6,76798,74302.4,76335,78277.4,82794.6,77796.82,2182.78630185265
147062.25,148706,157805.25,176207.25,150220,151152.5,149931.5,147174.75,147103,146966.25,152232.875,9037.87719456443
124798.5,124352.75,123853.75,143220.25,127344.75,124864,119208.25,124140.25,119584.25,126017.25,125738.4,6653.85118767904
147705.25,166481,151725.25,156853.5,151677.5,151640.25,151038,150335.25,147371.25,165170.75,153999.8,6754.49178098874
158165,162370.25,171297.75,168526,164197,162383,162276.5,158604.25,156202.5,161710.75,162573.3,4605.19214643163
134297.25,133583.25,133166.5,140966.25,137265.75,135006.75,126331.5,133506.25,126602.75,131357,133208.325,4417.77989594636
127798.25,133341,139273.75,160885.5,136049,131107.75,126215,136263.5,126078.5,129062.75,134607.5,10280.8762002295
127534.75,131176.5,132178.75,148262.5,135779.5,131045.75,125766.5,130804,125792.75,130823.25,131916.425,6501.66187734806
124469,130499.75,130809.5,134925.25,133221,131173.5,124880.5,129960.5,124638.25,126868.75,129144.6,3726.09224329666
124652,130730.5,129269.25,135791.25,131279.75,128589.25,125208.75,133624,124572.5,125737.25,128945.45,3936.05515078232
122351.75,131268,128191,138705.75,129546.5,127775.25,123711,130713.75,124398.5,123925,128058.65,4887.35647729027
122611.5,128266,130982.75,133369,129091,129048,123079.5,130189.75,123077.5,127301.75,127701.675,3681.0798292115
174828.75,178539,181369.75,184829.5,185274,181091,172994.25,190418.75,182954.75,181035,181333.475,5085.19737742412
190187,198293,200333.5,206964,206335.5,199309.75,188882.75,226106.5,193386.5,191388.5,200118.7,11112.2072463625
162729.75,166959.5,174839,177916.5,179202.5,178932.25,173983.25,173433.75,163551,167686.25,171923.375,6238.45966259345
160324.5,165946.5,176006.25,174596,175026.25,167299.25,158153.5,183329.75,162148,160737.5,168356.75,8421.32583336298
159399.5,174284,175585.75,172014.75,172934.5,167790.25,166534.75,175578.75,166525.5,160138.5,169078.625,5994.81057903185
138882.4,145435,147752,145407.2,149540,147562,142873,141671.2,136398,137775.4,143329.62,4551.20995824188
119704,124188.2,128966.6,136514.4,137751.8,124103.4,130842.4,134851.6,122502.2,123887.6,128331.22,6395.55474959843
113710.2,118170,127785.2,118756.6,119693,118519.8,113664.8,122392.8,114347.6,115323.4,118236.34,4421.24424322184
175738.666667,196502.333333,182214.333333,182226,183217.333333,186475,175351.333333,182604.333333,172209.666667,168973,180551.1999999,7889.93476965186
200950,213667,209738.666667,211621.333333,214791.333333,212420.666667,199885.666667,216959.666667,199352.666667,199056,207844.3000001,7182.2777662443
215876,233693.333333,225746.333333,222935.333333,225112.333333,222612,214262.666667,229348.666667,216232.333333,219050,222486.8999999,6259.88495340987
195706.666667,205611,220128.333333,201380.666667,201828.333333,203340.333333,201240,205211.333333,193712,193357,202151.5666666,7728.33388519498
190396.333333,199860.666667,207673,201442,202119,201675.666667,190897.333333,202596.666667,189616.333333,187697.333333,197397.4333333,7004.33172529646
188491.333333,201024,200683.333333,198482.333333,199133.333333,198728.333333,220418.333333,199095.333333,190067.666667,189612.333333,198573.6333331,9083.39689057793
189856.666667,197015,197363.333333,196321,198504.666667,198713.333333,200729,199340.333333,188383.666667,184736.333333,195096.3333333,5422.19589241117
187587.666667,216005.333333,196696,194159,197162.666667,198623,185795,199737.666667,187332.666667,188503.333333,195160.2333334,8978.17791734935
184592.333333,209559.333333,195202.333333,197418.666667,200918,195482.333333,186107.333333,195682.333333,186431.333333,184691.666667,193608.5666665,8173.86068028888
185367.666667,200190.666667,194972,194455,196454.333333,195297,188067.333333,194485.333333,187268,188847.333333,192540.4666666,4803.91977865081
186557.666667,193688.333333,199148,191790.666667,194998.333333,198073.333333,187198.333333,192640,192149.333333,182747,191899.0999999,5147.67121748311
181479.666667,189753,189648.666667,186787.666667,187308,202718,190619.333333,190099.666667,180275.666667,177998.333333,187668.8000001,6966.15015662822
178522,187502.333333,192711.666667,184995.333333,186105,186251.666667,180786.333333,187404.666667,176906,177334.333333,183851.9333333,5218.72477413005
177521.333333,188945.333333,188268.666667,183327.666667,186037.333333,184829.666667,179417.666667,187079,175798,176574.333333,182779.9,5032.63763175931
176285.666667,189244,189447.333333,183170,185854.333333,185812,178074,185907,174665,175907,182436.6333333,5686.69555461435
173104,185441.666667,186136.333333,181886,183052,186011.333333,174384,183527.333333,172422.333333,175911.333333,180187.6333332,5593.6141002603
173250.666667,183521,183691.333333,180508.333333,182298.333333,185841.333333,171999,182527.666667,175563.666667,175090.666667,179429.2,4968.43791464291
173136,187872.333333,185746.666667,180570.666667,181765.666667,182433.333333,176490.333333,182361.666667,172668,171170.333333,179421.5,5751.77751009336
190906.333333,204339.666667,202481,199920.666667,202293.333333,206260.333333,192153,200564.666667,191650.666667,188317.333333,197888.7,6460.6048420667
188734.666667,200462.666667,199746.666667,195185.333333,197220.333333,201205.666667,186174.666667,198252.333333,187697.333333,190107,194478.6666667,5755.35679195718
184020,194109,195301.333333,192470,196029,196450,183009,194425,184445.666667,182718.333333,190297.7333333,5927.73331190273
182918.333333,192507,192909.666667,194011,192427,193459.333333,181478.333333,191606,181112.333333,180846,188327.4999999,5858.12313580393
181642,192642.666667,194926.333333,190788,193976.666667,192039,183263.333333,191622.666667,183578.666667,192991,189747.0333334,4935.76922210578
180133,193225,191508.333333,189939.333333,189961.666667,191317.666667,179499,191468.333333,187165,179963.666667,187418.1,5439.6172069728
181051.666667,189338,191184.333333,188405,190177.333333,189736.666667,180709,189546.666667,179641,180555,186034.4666667,4834.47029584961
177558,190379.666667,189355.666667,189263.333333,189391.666667,189286,177747,191029,179661,179821.666667,185349.3000001,5794.47394785482
179325.666667,190755.666667,188065,187896,187673,186903,176517,188061.666667,178298.333333,175705.666667,183920.1000001,5723.66778733593
177833,189068.333333,189353,188113.666667,188329.666667,187662,177559.666667,187408.333333,177696.666667,176210,183923.4333334,5724.26732604728
175473.333333,191506.333333,186463.333333,186470,185336.666667,186225,177313.333333,184531.333333,175677.666667,175124,182412.0999999,5923.39494127674
175606.666667,188633.333333,184936,186676.666667,186955,184977.333333,174310.333333,183640.333333,174839,173624,181419.8666666,6043.15117533213
175375.666667,189279.666667,184789,184220,185929.333333,184440,176133,184925,174620.666667,177060.666667,181677.3000001,5289.01435520211
173224.666667,186214.333333,186771.333333,182788,184575,184461,174016,182842.666667,173351.333333,173492.666667,180173.7,5860.56097133689
174223,182379.333333,182868.666667,182843.333333,183338.333333,185127.666667,177342.666667,182653.333333,173036.666667,174162,179797.5,4583.15726587473
172469,179940,182700,181633,181469.333333,183075.666667,170879.666667,183533.333333,173722.333333,173824,178324.6333333,4982.67420992369
176033,186372,184709.333333,184240,185692.333333,187866,177582,186425.666667,175844.666667,177198.333333,182196.3333333,4885.17888268355
172504.666667,182147.666667,183436.666667,181845,184161,183784,174311.333333,182060.666667,174152,174443.333333,179284.6333334,4763.34619776009
170298,179906,182577.333333,179874,181486,182735.666667,171865.666667,179604.333333,171019.666667,170335.333333,176970.2,5365.19079356373
169981,184481.333333,180908.666667,181043.666667,181381,182789,172480,179435.333333,170604.666667,171613,177471.7666667,5613.74280644176
170793,178954,186513,179840.666667,181310,180850,173101.666667,180175.666667,171504,170494,177353.6000001,5486.10067015191
169604.666667,180157.333333,177838.333333,179608.333333,180391,179693.333333,171528.666667,178408.333333,168356.333333,167665.333333,175325.1666665,5339.95463338591
169099,178381,177813.666667,179513,179493.666667,177894.333333,170838,177218.666667,168279.666667,168023,174655.4000001,4921.67202794815
169052.666667,177515.666667,180777.333333,176814.333333,178281,178263,169951.666667,178028.333333,167975.666667,168667.333333,174532.7,4963.17073432298
166778.666667,176259,176488.333333,177958,178644.666667,176394,169365.333333,178340.666667,167635.333333,166867.333333,173473.1333333,5113.62037740518
165021,174396.333333,174194,176048,176451,174206.333333,168668.333333,177409,165390,166949.666667,171873.3666666,4827.27197818445
168011,179558.333333,175828,175962.333333,177191.666667,177503.333333,169285.333333,177740.333333,167785.666667,180553.333333,174941.9333332,4776.39467513442
165614.333333,176233.333333,175589.333333,174764,174354.666667,175114,167260.666667,177112,165731.333333,168187.333333,171996.0999999,4677.23318040908
165235.333333,172581.333333,175719,172122,173819,173975.333333,165086.333333,174748.333333,164873,164459.666667,170261.9333332,4713.44804926573
164044,171966.666667,170860.333333,172452.666667,172996.666667,172992,165459,173547.333333,164527.666667,165100,169394.6333334,4048.66967160618
160939.333333,171686.333333,169684.333333,170080.666667,170801,170594.666667,162246.333333,173226,162140,161603.666667,167300.2333333,4898.50111130018
160982.666667,175078.333333,170521,169371.333333,171805,170940.333333,161285.666667,171349.666667,161901.333333,164878,167811.3333333,5094.57835993242
158942.666667,170386,168415.666667,168060.333333,170854,169093,160693.666667,170648,159669,164556.333333,166131.8666667,4761.0019646971
