,,,,,,,,,,
mode1:,mode1:,mode1:,mode1:,mode1:,mode1:,mode1:,mode1:,mode1:,mode1:,
2084.482759,2363.379310,2217.310345,2445.413793,2628.379310,2415.517241,2554.827586,2145.379310,2528.620690,2347.482759,
1253.894737,1130.105263,1176.210526,1126.210526,1145.842105,1097.157895,1122.105263,1194.631579,1118.052632,1182.263158,
2001.916667,2109.000000,1919.500000,1988.750000,2018.666667,1971.416667,1965.666667,1990.916667,1933.583333,3281.583333,
3227.000000,3181.285714,3045.571429,3087.285714,2992.428571,3036.571429,3141.000000,3098.285714,3060.000000,3113.000000,
3436.500000,3323.333333,3275.666667,3276.500000,3405.166667,3255.166667,3507.333333,3382.000000,3388.500000,3452.500000,
4604.600000,4270.400000,4033.000000,4060.800000,4119.800000,4138.200000,4046.200000,4044.200000,4070.000000,4227.000000,
5827.333333,5550.333333,5816.000000,5422.333333,5421.000000,5466.000000,5399.666667,7906.666667,5335.333333,5720.000000,
7989.500000,7585.000000,7656.000000,8388.500000,7792.500000,7395.500000,7593.500000,7658.000000,7869.000000,7626.500000,
9582.000000,9245.000000,9729.500000,8544.500000,8536.500000,8598.000000,8667.500000,8913.500000,8935.500000,8693.500000,
10390.000000,9568.000000,10377.000000,9805.500000,9429.500000,9995.000000,9401.500000,9837.000000,9580.000000,10431.500000,
5334.000000,4528.000000,4528.000000,4592.500000,4410.500000,4625.000000,4698.500000,4757.500000,4698.000000,4980.500000,
7576.500000,6682.500000,6938.000000,6904.500000,6588.500000,6791.500000,6891.500000,6705.000000,7138.000000,7197.500000,
8185.000000,7248.500000,7651.000000,7506.000000,7344.500000,7503.500000,7528.500000,7424.500000,7571.500000,7890.000000,
,,,,,,,,,,
nds_n0=1,nds_n0=1,nds_n0=1,nds_n0=1,nds_n0=1,nds_n0=1,nds_n0=1,nds_n0=1,nds_n0=1,nds_n0=1,
10396,9902,9834,9751,9841,9531,9606,9543,9964,10693,
9935,9641,9453,9373,9431,9829,10073,9604,15933,9393,
7749,7602,7597,7387,7374,7734,7309,7797,7391,7942,
15000,13906,20691,13979,14343,14174,13798,14619,13941,14825,
8488,7590,7279,7546,7470,7459,7354,7597,7314,8269,
6631,6315,6592,6227,6207,6008,6091,6425,6088,6422,
5024,4601,4662,4355,4571,4623,4621,4643,4546,4936,
4752,4238,4392,4430,4192,4315,4257,4163,4219,4633,
4290,4131,4111,4032,3970,3970,3936,4219,3855,4146,
10243,9403,9264,9011,9416,15831,9102,9152,9055,9561,
8539,7923,7934,7569,7761,7689,8223,7814,7893,7746,
6704,6192,6036,6214,6031,6108,6150,6296,5911,6081,
5803,5256,5471,5217,5484,5269,5192,5284,5259,5235,
5345,4878,5004,5219,4918,4794,4725,4994,5043,5001,
5383,4730,4699,4772,4620,4624,4546,4676,4814,4788,
4862,4253,4448,4348,4275,4348,4221,4339,4185,4345,
4744,4097,4043,3993,10867,3776,3965,4061,3887,4200,
4534,3647,3935,4149,3867,3641,3603,3677,3595,4061,
4284,3568,3630,3879,3764,3454,3538,3532,3519,3886,
4115,3447,3499,3538,3381,3272,3368,3394,3285,3506,
4052,3217,3452,3584,3189,3247,3279,3205,3553,3572,
6247,5645,5628,5554,5422,5335,5605,5372,5528,5373,
4497,3901,3926,3791,3685,3743,3572,3642,4155,4157,
3825,3568,3477,3519,3404,3424,3481,5744,3565,3632,
3475,3182,3148,3322,3204,3156,3078,3229,3267,3360,
3917,3536,3524,3433,3525,3487,3585,3463,3542,3694,
3181,2996,3062,3196,3070,2901,2999,2891,2964,3206,
