,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
4,,,,,,,,,,,,
size,mean,stdev.s,num_threads,,size,mean,stdev.s,num_threads,,,,
2,12372.9,4413.24129939285,1,,2,126729.8,55322.0282142054,2,,-114356.9,-59034.8717857947,-169678.928214205
,,,,,,,,,,,,
8,,,,,,,,,,,,
size,mean,stdev.s,num_threads,,size,mean,stdev.s,num_threads,,,,
4,24195.1,14946.4224515434,2,,4,204109.2,57602.5301157278,2,,-179914.1,-122311.569884272,-237516.630115728
16,,,,,,,,,,,,
size,mean,stdev.s,num_threads,,size,mean,stdev.s,num_threads,,,,
8,90639.5,54514.20124304,2,,8,281097.8,67159.3910927992,2,,-190458.3,-123298.908907201,-257617.691092799
32,,,,,,,,,,,,
size,mean,stdev.s,num_threads,,size,mean,stdev.s,num_threads,,,,
16,141885.5,10395.5300356558,2,,16,238678.1,29925.5397888752,2,,-96792.6,-66867.0602111248,-126718.139788875
64,,,,,,,,,,,,
size,mean,stdev.s,num_threads,,size,mean,stdev.s,num_threads,,,,
32,888542.9,34692.2035059752,2,,32,829531.1,47274.3853557787,2,,59011.8,106286.185355779,11737.4146442213
,,,,,,,,,,,,
32,,,,,,,,,,,,
size,mean,stdev.s,num_threads,,size,mean,stdev.s,num_threads,,,,
16,156060.1,43798.5971577798,2,,16,239631.6,28077.6412320472,2,,-83571.5,-55493.8587679528,-111649.141232047
64,,,,,,,,,,,,
size,mean,stdev.s,num_threads,,size,mean,stdev.s,num_threads,,,,
16,2219904,54245.1192991386,4,,16,1386513.8,36989.3959333092,4,,833390.2,870379.595933309,796400.804066691
128,,,,,,,,,,,,
size,mean,stdev.s,num_threads,,size,mean,stdev.s,num_threads,,,,
16,34850378.6,380222.902176897,8,,16,6653539.7,1683661.28944334,8,,28196838.9,29880500.1894433,26513177.6105567
64,,,,,,,,,,,,
8,4677707.6,50620.2053668076,8,,8,2820093.9,482709.076020939,8,,1857613.7,2340322.77602094,1374904.62397906
64,,,,,,,,,,,,
4,9867112.4,108158.704347105,16,,4,7742867.4,525440.881408746,16,,2124245,2649685.88140875,1598804.11859125
64,,,,,,,,,,,,
2,19783480.8,108947.293541214,32,,2,16875317.1,6234656.83283457,32,,2908163.7,9142820.53283457,-3326493.13283457
64,,,,,,,,,,,,
3,13538876.1,203481.92280476,22,,3,10208854.1,556781.172462146,22,,3330022,3886803.17246215,2773240.82753785
128,,,,,,,,,,,,
64,6247115.3,68344.1024100349,2,,64,3849447.1,1081716.13566884,2,,2397668.2,3479384.33566884,1315952.06433116
128,,,,,,,,,,,,
2,286630739.1,910770.750035674,64,,2,49090761.5,8259739.05087828,64,,237539977.6,245799716.650878,229280238.549122
